name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Carnation Light & Creamy Evaporated Milk,https://www.coles.com.au/product/nestle-carnation-light-and-creamy-evaporated-milk-340ml-3964510,https://productimages.coles.com.au/productimages/3/3964510.jpg,3,0.34,8.82,0.1,405,7,1.4,0.9,13.5,13.5,130
Flavour Creations Tuscan Style Shredded Chicken Rice & Vegetable Soup,https://www.coles.com.au/product/coles-flavour-creations-tuscan-style-shredded-chicken-rice-and-vegetable-soup-430g-4868625,https://productimages.coles.com.au/productimages/4/4868625.jpg,3.8,0.43,8.8,215,177.8,2.4,0.3,0.1,6.7,1,261
Flavour Creations Pulled Lamb Pearl Barley & Lentil Soup,https://www.coles.com.au/product/coles-flavour-creations-pulled-lamb-pearl-barley-and-lentil-soup-430g-4868670,https://productimages.coles.com.au/productimages/4/4868670.jpg,3.8,0.43,8.8,215,189.5,2.4,0.8,0.3,6.3,1.6,265
Flavour Creations Pump Sweet Potato & Cumin Soup,https://www.coles.com.au/product/coles-flavour-creations-pump-sweet-potato-and-cumin-soup-430g-4868691,https://productimages.coles.com.au/productimages/4/4868691.jpg,3.8,0.43,8.8,215,129.2,0.9,,,5.7,2.7,235
Flavour Creations Home Style 8 Veg & Chicken Soup,https://www.coles.com.au/product/coles-flavour-creations-home-style-8-veg-and-chicken-soup-430g-4868727,https://productimages.coles.com.au/productimages/4/4868727.jpg,3.8,0.43,8.8,215,128,1.7,0.3,0.1,4.8,0.8,257
Black Pitted Cherries In Syrup,https://www.coles.com.au/product/coles-black-pitted-cherries-in-syrup-425g-5357723,https://productimages.coles.com.au/productimages/5/5357723.jpg,3.8,0.425,8.94,0.122,450.6,0.9,,,23.1,22,
Mixed Berries In Syrup,https://www.coles.com.au/product/coles-mixed-berries-in-syrup-425g-6608454,https://productimages.coles.com.au/productimages/6/6608454.jpg,3.8,0.425,8.94,0.122,393.9,0.5,,,20,15.2,0.64
Baked Beans Smoky Campfire BBQ Sauce,https://www.coles.com.au/product/whitlocks-baked-beans-smoky-campfire-bbq-sauce-420g-4348523,https://productimages.coles.com.au/productimages/4/4348523.jpg,3.8,0.42,9.05,0.21,340,4.8,0.4,0.1,12.2,4,340
Baked Beans Fuego Chilli Sauce,https://www.coles.com.au/product/whitlocks-baked-beans-fuego-chilli-sauce-420g-4348534,https://productimages.coles.com.au/productimages/4/4348534.jpg,3.8,0.42,9.05,0.21,355,5.5,0.4,0.1,11.8,3,215
Baked Beans Makhani Style,https://www.coles.com.au/product/f.whitlocks-baked-beans-makhani-style-420g-5199214,https://productimages.coles.com.au/productimages/5/5199214.jpg,3.8,0.42,9.05,0.21,395,5.2,2.1,0.7,11.6,3.6,330
Canned Baked Beans Tomato Sauce,https://www.coles.com.au/product/heinz-canned-baked-beans-tomato-sauce-220g-126439,https://productimages.coles.com.au/productimages/1/126439.jpg,2,0.22,9.09,0.22,355,4.8,0.5,,13,4.7,365
